,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20
11,Henan,Mainland China,33.882020000000004,113.61399999999999,5,0.0,4.0,23.0,51.0,45.0,40.0,38.0,72.0,74.0,70.0,71.0,73.0,109.0,89.0,87.0,63.0,67.0,52.0,40.0,32.0,30.0,34.0,15.0,28.0,19.0,15.0,11.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Hubei,Mainland China,30.9756,112.2707,444,0.0,105.0,212.0,297.0,365.0,2131.0,0.0,1349.0,903.0,1347.0,4024.0,2345.0,3156.0,2987.0,2447.0,2841.0,2147.0,2531.0,2097.0,1638.0,0.0,14840.0,6200.0,1843.0,1933.0,1807.0,1693.0,349.0,411.0,220.0,1422.0,0.0,203.0,499.0,401.0,409.0,318.0,423.0,570.0,196.0,114.0,115.0,134.0,126.0,74.0,41.0,36.0
13,Hunan,Mainland China,27.6104,111.7088,4,5.0,15.0,19.0,26.0,31.0,43.0,78.0,56.0,55.0,57.0,74.0,58.0,72.0,68.0,50.0,61.0,31.0,35.0,41.0,33.0,34.0,22.0,20.0,13.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Inner Mongolia,Mainland China,44.0935,113.9448,0,0.0,1.0,6.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,7.0,1.0,7.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jiangsu,Mainland China,32.9711,119.455,1,4.0,4.0,9.0,15.0,14.0,23.0,29.0,30.0,39.0,34.0,34.0,35.0,37.0,33.0,32.0,35.0,31.0,29.0,24.0,23.0,28.0,27.0,23.0,11.0,13.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Jiangxi,Mainland China,27.614,115.7221,2,5.0,11.0,0.0,18.0,36.0,37.0,0.0,53.0,78.0,46.0,47.0,58.0,85.0,72.0,52.0,61.0,37.0,42.0,31.0,33.0,40.0,28.0,28.0,13.0,12.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Jilin,Mainland China,43.6661,126.1923,0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,5.0,0.0,3.0,6.0,8.0,11.0,12.0,5.0,6.0,4.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Liaoning,Mainland China,41.2956,122.6085,2,1.0,1.0,13.0,4.0,6.0,7.0,5.0,2.0,7.0,16.0,6.0,4.0,7.0,8.0,5.0,5.0,6.0,2.0,1.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ningxia,Mainland China,37.2692,106.1655,1,0.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,5.0,2.0,3.0,3.0,0.0,6.0,3.0,2.0,0.0,4.0,4.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Qinghai,Mainland China,35.7452,95.9956,0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
